,start,end,id,num_type,string_type,bool_type,void,input,output,if,elseif,else,switch,case,default,colon,while,for,do_while,break,continue,try,catch,finally,throw,function,return,l_paren,r_paren,l_brace,r_brace,l_brack,r_brack,semi,comma,assign_as,assign_add,assign_min,assign_mul,assign_div,assign_mod,incre,decre,log_or,log_and,log_not,rel_eq,rel_neq,rel_ls,rel_lse,rel_gt,rel_gte,arith_add,arith_sub,arith_mul,arith_div,arith_mod,numlit,stringlit,true,false,eof
PROGRAM,<PROGRAM> → start STATEMENT_LIST end eof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT_LIST,,<STATEMENT_LIST> → ε,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST>→ STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,,,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → ε,<STATEMENT_LIST> → ε,,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,,,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,<STATEMENT_LIST> → STATEMENT STATEMENT_LIST,,,,<STATEMENT_LIST> → ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<STATEMENT_LIST> → ε
BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<BLOCK> → l_brace <STATEMENT_LIST> r_brace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,<STATEMENT> → id <STATEMENT>',<STATEMENT> → <DECLARATION_STMT>,<STATEMENT> → <DECLARATION_STMT>,<STATEMENT> → <DECLARATION_STMT>,<STATEMENT> → <DECLARATION_STMT>,<STATEMENT> → <IO_STMT>,<STATEMENT> → <IO_STMT>,<STATEMENT> → <IF_STMT>,,,<STATEMENT> → <SWITCH_STMT>,,,,<STATEMENT> → <LOOP_STMT>,<STATEMENT> → <LOOP_STMT>,<STATEMENT> → <LOOP_STMT>,<STATEMENT> → <BREAK_STMT>,<STATEMENT> → <CONTINUE_STMT>,<STATEMENT> → <TRY_CATCH_STMT>,,,<STATEMENT> → <THROW_STMT>,<STATEMENT> → <FUNCTION_DECL>,<STATEMENT> → <RETURN_STMT>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT',,,,,,,,,,,,,,,,,,,,,,,,,,,,<STATEMENT>' → l_paren <ARG_LIST> r_paren semi,,,,<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',,,,<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',<STATEMENT>' → <L_VALUE>' <ASSIGNMENT_STMT>',,,,,,,,,,,,,,,,,,,
TYPE,,,,<TYPE> → num_type,<TYPE> → string_type,<TYPE> → bool_type,<TYPE> → void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATION_STMT,,,,<DECLARATION_STMT> → <TYPE> id <DECLARATION_STMT>',<DECLARATION_STMT> → <TYPE> id <DECLARATION_STMT>',<DECLARATION_STMT> → <TYPE> id <DECLARATION_STMT>',<DECLARATION_STMT> → <TYPE> id <DECLARATION_STMT>',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECLARATION_STMT',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<DECLARATION_STMT>' → l_brack <EXPRESSION> r_brack semi,,<DECLARATION_STMT>' → <VAR_INIT> semi,,<DECLARATION_STMT>' → <VAR_INIT> semi,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR_INIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<VAR_INIT> → ε,,<VAR_INIT> → assign_as <EXPRESSION>,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGNMENT_STMT,,,<ASSIGNMENT_STMT> → <L_VALUE> <ASSIGNMENT_STMT>',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
